"PROGRAM, YEAR, AND SECTION",COURSE,STUDENTS ENROLLED IN CLASS,UNNAMED: 3,UNNAMED: 4,COMPUTER-STUDENT RATIO (FOR SUBJECTS WITH LABORATORY ONLY),PASSED STUDENTS,UNNAMED: 7,UNNAMED: 8,FAILED STUDENTS,UNNAMED: 10,UNNAMED: 11,INCOMPLETE STUDENTS,UNNAMED: 13,UNNAMED: 14,CONDITIONAL FAILURE STUDENTS,UNNAMED: 16,UNNAMED: 17,PROGRAM,ENROLLED,PASSED,PASS_RATE,FAILED,NUM_DEF,RECOMMENDATION,FACULTY,ANALYSIS_DATE,"PROGRAM, YEAR & SECTION",Unnamed: 28,__1,__2,__3,__4,__5,__6,__7,DROP STUDENTS,__8,__9,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,STUDENTS ENROLLED IN CLASS MA LE,FEM ALE,TOT AL,PASSED STUDENTS MALE,FEM ALE__1,TOT AL__1,FAILED STUDENTS MALE,FEM ALE__2,TOT AL__2,INCOMPLETE STUDENTS MALE,FEM ALE__3,TOT AL__3,DROP STUDENTS MALE,FEM ALE__4,TOT AL__4,INCOMPLETE,DROP,COND_FAIL,ACADEMIC_YEAR
BSIT 3C - WAM,ITST 304,22.0,12.0,34.0,1:1,21.0,12.0,33.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BSIT 3C - WAM,22,21,95.45,1,0.0,"🎉 Excellent performance with 95.45% pass rate. Continue current teaching approach. | 📈 Good employment outlook (77.6% based on 370 alumni). Focus on practical skills. | 💼 Potential career paths for BSIT: Programmer, Accenture Inc, Accenture. Align course content with industry needs. | 🎓 Student Suggestion: Provide more examples. | 🔍 Internal Review Weakness: Suspended classes cause the late discussion for other sections | ✅ Internal Review Action: Proper communication with the students. | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement. | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement.",MJ Formaran,2025-11-01 03:12:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSIT 3D - WAM,ITST 304,23.0,8.0,31.0,1:1,23.0,8.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BSIT 3D - WAM,23,23,100.0,0,0.0,"🎉 Excellent performance with 100.0% pass rate. Continue current teaching approach. | 📈 Good employment outlook (77.6% based on 370 alumni). Focus on practical skills. | 💼 Potential career paths for BSIT: Programmer, Accenture Inc, Accenture. Align course content with industry needs. | 🎓 Student Suggestion: Provide more examples. | 🔍 Internal Review Weakness: Suspended classes cause the late discussion for other sections | ✅ Internal Review Action: Students finish was given enough time to submit their laboratory activity | 📋 Internal Review Recommendation: Continue to improve on 'Suspended classes cause the late discussion for other sections' by consistently applying the action 'Proper communication with the students.' and monitoring progress. | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement.",MJ Formaran,2025-11-01 03:12:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSIT 3E - WAM,ITST 304,19.0,7.0,26.0,1:1,19.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BSIT 3E - WAM,19,19,100.0,0,0.0,"🎉 Excellent performance with 100.0% pass rate. Continue current teaching approach. | 📈 Good employment outlook (77.6% based on 370 alumni). Focus on practical skills. | 💼 Potential career paths for BSIT: Programmer, Accenture Inc, Accenture. Align course content with industry needs. | 🎓 Student Suggestion: Provide more examples. | 🔍 Internal Review Weakness: Suspended classes cause the late discussion for other sections | ✅ Internal Review Action: Students finish was given enough time to submit their laboratory activity | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement. | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement.",MJ Formaran,2025-11-01 03:12:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSCS 2A,ITEC 106,25.0,4.0,29.0,1:1,24.0,4.0,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BSCS 2A,25,24,96.0,1,0.0,"🎉 Excellent performance with 96.0% pass rate. Continue current teaching approach. | 📈 Good employment outlook (76.8% based on 69 alumni). Focus on practical skills. | 💼 Potential career paths for BSCS: Instructor, Programmer, Game Development. Align course content with industry needs. | 🎓 Student Suggestion: Extended time for the subject, although there are other subjects to emphasize, applications development may also be given time to explore other possibilites. | 🎓 Student Suggestion: The lessons should be paced better. | 🔍 Internal Review Weakness: Suspended classes cause the late discussion for other sections | ✅ Internal Review Action: The students utilize their mobile data to set-up the IDE | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement. | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement.",MJ Formaran,2025-11-01 03:12:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSCS 2B,ITEC 106,22.0,5.0,27.0,1:1,22.0,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BSCS 2B,22,22,100.0,0,0.0,"🎉 Excellent performance with 100.0% pass rate. Continue current teaching approach. | 📈 Good employment outlook (76.8% based on 69 alumni). Focus on practical skills. | 💼 Potential career paths for BSCS: Instructor, Programmer, Game Development. Align course content with industry needs. | 🎓 Student Suggestion: Extended time for the subject, although there are other subjects to emphasize, applications development may also be given time to explore other possibilites. | 🎓 Student Suggestion: The lessons should be paced better. | 🔍 Internal Review Weakness: Suspended classes cause the late discussion for other sections | ✅ Internal Review Action: Proper communication with the students. | 📋 Internal Review Recommendation: Put Internet connection in the laboratories | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement.",MJ Formaran,2025-11-01 03:12:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSCS 2A,CSEL 302,23.0,4.0,27.0,,23.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BSCS 2A,23,23,100.0,0,0.0,"🎉 Excellent performance with 100.0% pass rate. Continue current teaching approach. | 📈 Good employment outlook (76.8% based on 69 alumni). Focus on practical skills. | 💼 Potential career paths for BSCS: Instructor, Programmer, Game Development. Align course content with industry needs. | 🎓 Student Suggestion: More examples could help. | 🎓 Student Suggestion: Update software tools",MJ Formaran,2025-11-01 03:12:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSCS 2B,CSEL 302,21.0,5.0,26.0,,21.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BSCS 2B,21,21,100.0,0,0.0,"🎉 Excellent performance with 100.0% pass rate. Continue current teaching approach. | 📈 Good employment outlook (76.8% based on 69 alumni). Focus on practical skills. | 💼 Potential career paths for BSCS: Instructor, Programmer, Game Development. Align course content with industry needs. | 🎓 Student Suggestion: Update software tools | 🎓 Student Suggestion: More examples could help.",MJ Formaran,2025-11-01 03:12:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSCS 3A,CSST 104,21.0,10.0,31.0,,20.0,10.0,30.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BSCS 3A,21,20,95.24,1,0.0,"🎉 Excellent performance with 95.24% pass rate. Continue current teaching approach. | 📈 Good employment outlook (76.8% based on 69 alumni). Focus on practical skills. | 💼 Potential career paths for BSCS: Instructor, Programmer, Game Development. Align course content with industry needs. | 🎓 Student Suggestion: More tutorials",MJ Formaran,2025-11-01 03:12:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSCS 3B,CSST 104,27.0,7.0,34.0,,27.0,7.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BSCS 3B,27,27,100.0,0,0.0,"🎉 Excellent performance with 100.0% pass rate. Continue current teaching approach. | 📈 Good employment outlook (76.8% based on 69 alumni). Focus on practical skills. | 💼 Potential career paths for BSCS: Instructor, Programmer, Game Development. Align course content with industry needs. | 🎓 Student Suggestion: More tutorials",MJ Formaran,2025-11-01 03:12:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSCS 3A,CMSC 311,21.0,10.0,31.0,1:1,19.0,10.0,29.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,BSCS 3A,21,19,90.48,2,0.0,"👍 Good performance with 90.48% pass rate. Minor improvements recommended. | 📝 2 student(s) need additional support. Consider peer tutoring. | 📈 Good employment outlook (76.8% based on 69 alumni). Focus on practical skills. | 💼 Potential career paths for BSCS: Instructor, Programmer, Game Development. Align course content with industry needs. | 🎓 Student Suggestion: To have more curriculum | 🎓 Student Suggestion: Add more real-world applications. | 🔍 Internal Review Weakness: Suspended classes cause the late discussion for other sections | ✅ Internal Review Action: Proper communication with the students | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement. | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement.",MJ Formaran,2025-11-01 03:12:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSCS 3B,CMSC 311,27.0,7.0,34.0,1:1,27.0,7.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BSCS 3B,27,27,100.0,0,0.0,"🎉 Excellent performance with 100.0% pass rate. Continue current teaching approach. | 📈 Good employment outlook (76.8% based on 69 alumni). Focus on practical skills. | 💼 Potential career paths for BSCS: Instructor, Programmer, Game Development. Align course content with industry needs. | 🎓 Student Suggestion: Add more real-world applications. | 🎓 Student Suggestion: To have more curriculum | 🔍 Internal Review Weakness: Suspended classes cause the late discussion for other sections | ✅ Internal Review Action: Proper communication with the students | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement. | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement.",MJ Formaran,2025-11-01 03:12:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSIT 3A - WAM,ITST 304,27.0,7.0,34.0,1:1,27.0,7.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BSIT 3A - WAM,27,27,100.0,0,0.0,"🎉 Excellent performance with 100.0% pass rate. Continue current teaching approach. | 📈 Good employment outlook (77.6% based on 370 alumni). Focus on practical skills. | 💼 Potential career paths for BSIT: Programmer, Accenture Inc, Accenture. Align course content with industry needs. | 🎓 Student Suggestion: Provide more examples. | 🔍 Internal Review Weakness: One of the computer laboratories has a virus which causes delays to the creation of laboratory of the other students. | ✅ Internal Review Action: Proper communication with the students. | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement. | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement.",MJ Formaran,2025-11-01 20:20:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSIT 3B - WAM,ITST 304,25.0,7.0,32.0,1:1,25.0,7.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BSIT 3B - WAM,25,25,100.0,0,0.0,"🎉 Excellent performance with 100.0% pass rate. Continue current teaching approach. | 📈 Good employment outlook (77.6% based on 370 alumni). Focus on practical skills. | 💼 Potential career paths for BSIT: Programmer, Accenture Inc, Accenture. Align course content with industry needs. | 🎓 Student Suggestion: Provide more examples. | 🔍 Internal Review Weakness: One of the computer laboratories has a virus which causes delays to the creation of laboratory of the other students. | ✅ Internal Review Action: Proper communication with the students. | 📋 Internal Review Recommendation: Continue to improve on 'Suspended classes cause the late discussion for other sections' by consistently applying the action 'Proper communication with the students.' and monitoring progress. | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement.",MJ Formaran,2025-11-01 20:20:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSIT 3C - WAM,ITST 304,22.0,12.0,34.0,1:1,21.0,12.0,33.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BSIT 3C - WAM,22,21,95.45,1,0.0,"🎉 Excellent performance with 95.45% pass rate. Continue current teaching approach. | 📈 Good employment outlook (77.6% based on 370 alumni). Focus on practical skills. | 💼 Potential career paths for BSIT: Programmer, Accenture Inc, Accenture. Align course content with industry needs. | 🎓 Student Suggestion: Provide more examples. | 🔍 Internal Review Weakness: One of the computer laboratories has a virus which causes delays to the creation of laboratory of the other students. | ✅ Internal Review Action: Students finish was given enough time to submit their laboratory activity | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement. | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement.",MJ Formaran,2025-11-01 20:20:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSIT 3D - WAM,ITST 304,23.0,8.0,31.0,1:1,23.0,8.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BSIT 3D - WAM,23,23,100.0,0,0.0,"🎉 Excellent performance with 100.0% pass rate. Continue current teaching approach. | 📈 Good employment outlook (77.6% based on 370 alumni). Focus on practical skills. | 💼 Potential career paths for BSIT: Programmer, Accenture Inc, Accenture. Align course content with industry needs. | 🎓 Student Suggestion: Provide more examples. | 🔍 Internal Review Weakness: Suspended classes cause the late discussion for other sections | ✅ Internal Review Action: Students finish was given enough time to submit their laboratory activity | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement. | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement.",MJ Formaran,2025-11-01 20:20:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSIT 3E - WAM,ITST 304,19.0,7.0,26.0,1:1,19.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BSIT 3E - WAM,19,19,100.0,0,0.0,"🎉 Excellent performance with 100.0% pass rate. Continue current teaching approach. | 📈 Good employment outlook (77.6% based on 370 alumni). Focus on practical skills. | 💼 Potential career paths for BSIT: Programmer, Accenture Inc, Accenture. Align course content with industry needs. | 🎓 Student Suggestion: Provide more examples. | 🔍 Internal Review Weakness: Suspended classes cause the late discussion for other sections | ✅ Internal Review Action: Proper communication with the students. | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement. | 📋 Internal Review Recommendation: Review course performance data to identify areas for further improvement.",MJ Formaran,2025-11-01 20:20:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
